Date,Open,High,Low,Close,Volume
2022-03-25,$1008,$1021.7999,$997.3201,$1010.64,20677180
2022-03-24,$1009.73,$1024.49,$988.8,$1013.92,22973630
2022-03-23,$979.94,$1040.7,$976.4,$999.11,40225380
2022-03-22,$930,$997.86,$921.75,$993.98,35289520
2022-03-21,$914.98,$942.85,$907.09,$921.16,27327220
2022-03-18,$874.49,$907.85,$867.39,$905.39,33471400
2022-03-17,$830.99,$875,$825.7178,$871.6,22194320
2022-03-16,$809,$842,$802.2601,$840.23,28009610
2022-03-15,$775.27,$805.57,$756.57,$801.89,22280380
2022-03-14,$780.61,$800.7,$756.04,$766.37,23717420
2022-03-11,$840.197,$843.802,$793.77,$795.35,22345720
2022-03-10,$851.45,$854.45,$810.3601,$838.3,19549550
2022-03-09,$839.48,$860.56,$832.01,$858.97,19727990
2022-03-08,$795.53,$849.99,$782.17,$824.4,26799700
2022-03-07,$856.3,$866.14,$804.57,$804.58,24164720
2022-03-04,$849.1,$855.65,$825.1609,$838.29,22393290
2022-03-03,$878.77,$886.439,$832.6001,$839.29,20541170
2022-03-02,$872.13,$886.48,$844.2721,$879.89,24881150
2022-03-01,$869.68,$889.88,$853.78,$864.37,24922290
2022-02-28,$815.01,$876.86,$814.7075,$870.43,33002290
2022-02-25,$809.23,$819.5,$782.4005,$809.87,25355920
2022-02-24,$700.39,$802.48,$700,$800.77,45107430
2022-02-23,$830.43,$835.2997,$760.56,$764.04,31752340
2022-02-22,$834.13,$856.7338,$801.1001,$821.53,27762730
2022-02-18,$886,$886.87,$837.61,$856.98,22833950
2022-02-17,$913.26,$918.4999,$874.1,$876.35,18392810
2022-02-16,$914.05,$926.4299,$901.21,$923.39,17098130
2022-02-15,$900,$923,$893.3774,$922.43,19216510
2022-02-14,$861.57,$898.8799,$853.15,$875.76,22585470
2022-02-11,$909.63,$915.96,$850.7,$860,26548620
2022-02-10,$908.37,$943.81,$896.7,$904.55,22042280
2022-02-09,$935,$946.2699,$920,$932,17419850
2022-02-08,$905.53,$926.2899,$894.8,$922,16909670
2022-02-07,$923.79,$947.77,$902.7089,$907.34,20331490
2022-02-04,$897.22,$936.5,$881.17,$923.32,24541820
2022-02-03,$882,$937,$880.52,$891.14,26285190
2022-02-02,$928.18,$931.5,$889.41,$905.66,22264350
2022-02-01,$935.21,$943.7,$905,$931.25,24379450
2022-01-31,$872.71,$937.99,$862.05,$936.72,34812030
2022-01-28,$831.56,$857.5,$792.01,$846.35,44929650
2022-01-27,$933.36,$935.39,$829,$829.1,49036520
2022-01-26,$952.43,$987.69,$906,$937.41,34955760
2022-01-25,$914.2,$951.26,$903.21,$918.4,28865300
2022-01-24,$904.76,$933.5131,$851.47,$930,50791710
2022-01-21,$996.34,$1004.55,$940.5,$943.9,34472010
2022-01-20,$1009.73,$1041.66,$994,$996.27,23496250
2022-01-19,$1041.705,$1054.6699,$995,$995.65,25147500
2022-01-18,$1026.605,$1070.7899,$1016.06,$1030.51,22329800
2022-01-14,$1019.88,$1052,$1013.3788,$1049.61,24308140
2022-01-13,$1109.065,$1115.6,$1026.5391,$1031.56,32403260
2022-01-12,$1078.85,$1114.84,$1072.5901,$1106.22,27913010
2022-01-11,$1053.67,$1075.85,$1038.82,$1064.4,22021070
2022-01-10,$1000,$1059.1,$980,$1058.12,30604960
2022-01-07,$1080.37,$1080.9299,$1010,$1026.96,28054920
